事件編號,address,camera_direction,Haya_gen,GPS緯度,GPS經度
1,桃園區成功路3段235號前,往桃園市區方向,40,25.0072897,121.3247527
2,桃園區春日路561號前,往桃園市區方向,50,25.0049995,121.3124597
3,中壢區中山東路2段371號前,往市區方向,50,24.9487467,121.2436302
4,中壢區中園路2段46巷口,南下車道,50,24.9867215,121.2387343
5,中壢區中園路421號前,往中壢方向,50,25.0024763,121.2293464
6,中壢區中正路四段353號前,往中壢方向,50,24.9904469,121.174404
7,中壢區中正路2段239巷口,往中壢方向,50,24.977359,121.195226
8,中壢區新生路三段192號前,往大園方向,50,24.9913954,121.2219984
9,中壢區民族路六段360號前,往新屋方向,50,24.9626775,121.1586343
10,中壢區新生路2段421號前,往中壢方向,50,24.9852355,121.222175
11,中壢區臺31線12.3K,往南,70,24.9913722,121.1929972
12,中壢區臺31線12.5K,往北,70,24.9913722,121.1929972
13,中壢區領航南路與新生路口,往北,50,24.9721514,121.2053963
14,中壢區中華路普忠路口,往中壢方向,50,24.9659841,121.2413651
15,中壢區高鐵北路與青心路口,往大園方向,50,24.9721514,121.2053963
16,中壢區中園路2段346號,往大園方向,50,24.9965277,121.2319572
17,中壢區普忠路770巷口,往市區方向,50,24.9525227,121.2511524
18,平鎮區環南路301巷平興國中前岔路口,南下車道,50,24.9502343,121.2066417
19,平鎮區路橋南與平德路前,北上車道,50,24.9296022,121.2053963
20,平鎮區中豐路山頂段531號,往龍潭方向,50,24.893104,121.212054
21,平鎮區中豐路與三興路岔路口,往中壢方向,50,24.9550523,121.2187218
22,平鎮區民族路雙連2段217號對面,往新屋方向,50,24.958342,121.180317
23,平鎮區福龍路1段550號,往龍潭方向,50,24.8967873,121.2259958
24,平鎮區延平路3段260巷口前,往楊梅方向,50,24.9378598,121.2009484
25,平鎮區中興路與南豐路口,往埔心方向,50,24.898372,121.193664
26,平鎮區金陵路與環南路口,往平鎮方向,50,24.9407586,121.2229896
27,平鎮區中豐路與延平路口,往平鎮方向,50,24.950768,121.218257
28,八德區新生路段近龍宮街36巷9弄口,往平鎮方向,50,24.926731,121.259181
29,八德區興豐路1216號前,往鶯歌方向,50,24.938421,121.308546
